word,category,mean Happiness,mean Anger,mean Sadness,mean Fear,mean Disgust,distance to H,distance to A,distance to S,distance to F,distance to D,distance to N
"pień",U,2.3846154,1.5769231,1.7692307,1.8076923,1.4615384,5.5405016,6.5556107,6.3376083,6.2050242,6.6513844,2.546787
"ciągnąć",U,2.5384614,2.0,1.6538461,1.8461539,2.1538463,5.41243,6.3064885,6.675454,6.5460567,6.201617,3.2640567
puder,U,3.1153846,1.7307693,1.5,1.5,1.5384616,4.661459,6.5853834,6.9170995,6.9140406,6.8390284,3.1623142
"trąd",U,1.0,2.5384614,3.7692308,4.423077,4.923077,9.297698,8.373007,7.3351946,6.885574,6.2423425,6.6691103
"stopień",U,2.8846154,1.8076923,2.0,2.5769231,1.6923077,5.528352,6.809196,6.667924,6.091263,6.926915,3.4753528
umowa,U,3.3846154,2.1153846,1.7692307,2.7307692,1.8461539,5.3006206,6.7506485,7.0483923,6.2058663,7.0127354,4.1103144
alkoholik,U,1.3076923,5.3846154,5.3461537,4.8461537,5.230769,10.643168,8.159183,8.098323,8.59134,8.213623,8.9039
"aresztować",U,1.2692307,4.1923075,3.8846154,4.6923075,2.5769231,8.82118,6.6888585,6.940962,6.1403227,7.942124,6.3876805
ostry,U,2.2692308,2.7692308,2.3076923,3.6538463,2.1538463,6.63916,6.721792,7.1318455,5.708702,7.2015686,4.875513
talerz,U,2.7307692,1.8846154,1.5384616,1.5,1.2692307,5.01422,6.150501,6.4923825,6.5187297,6.7202334,2.5998027
idealny,U,4.9615383,1.8846154,1.6153846,2.2307692,1.6153846,3.3267577,7.346491,7.55423,7.100485,7.6111765,5.183388
"wierność",U,5.6153846,1.4230769,1.5,3.0384614,1.3461539,3.334179,8.011152,7.9626217,6.7483587,8.118737,5.628889
piekarnik,U,3.6538463,1.3846154,1.6538461,2.1923077,1.1538461,4.338048,7.0932717,6.8881993,6.3457456,7.2500105,3.485404
winny,U,1.4615384,3.8461537,4.0,3.8461537,2.6923077,8.38321,6.8414507,6.5623193,6.8143387,7.6676397,6.190422
siostra,U,4.8461537,1.8846154,1.5384616,1.5,1.1923077,3.1247072,7.032863,7.2588577,7.374888,7.59838,4.474857
puszka,U,3.0384614,2.1538463,2.1153846,2.2692308,2.0384614,5.471237,6.826176,6.8901715,6.6666975,6.8952084,3.9288013
"zajmować",U,2.3461537,1.9230769,1.6538461,2.0769231,1.5769231,5.598335,6.2462535,6.5504966,6.1538677,6.600576,2.810144
cyrkowy,U,2.9230769,2.5769231,1.9230769,2.3846154,2.2692308,5.9260526,6.572541,7.052646,6.781573,6.761739,4.4668255
"pasożyt",U,1.3076923,4.3076925,3.1923077,5.0,5.5384617,9.914674,8.107899,8.930732,7.487508,6.9305058,7.891255
"sposób",U,3.3076923,1.6538461,1.5,1.6153846,1.3846154,4.4657755,6.5813074,6.678822,6.602307,6.7460947,3.052942
"maślany",U,3.0,1.5,1.2307693,1.2307693,2.1923077,4.827718,6.772916,6.955306,6.955306,5.8991017,3.2332048
"odznaczać",U,3.3846154,1.6153846,1.7307693,1.8461539,1.5384616,4.600583,6.7916675,6.6375623,6.554012,6.7836895,3.287913
szorstki,U,1.4230769,3.0384614,2.7692308,2.5384614,3.0769231,7.4383745,6.006294,6.255269,6.4593234,5.9434814,4.4187407
klimatyczny,U,4.3846154,1.3461539,1.7692307,1.6538461,1.2307693,3.6196432,7.287508,6.955968,7.076501,7.381289,3.9527106
"wtargnąć",U,1.5384616,5.1538463,3.3461537,4.5384617,3.4615386,9.125982,6.4353795,8.015953,7.088264,7.892812,7.0282135
intymny,U,3.9230769,1.4615384,1.4615384,2.5,1.7307693,4.1992025,7.2658615,7.2630696,6.2413974,6.9649887,4.1734943
fakt,U,2.6538463,2.4230769,2.1153846,2.3461537,1.8461539,5.760279,6.110992,6.43726,6.179076,6.626275,3.5393143
"niechęć",U,1.3461539,4.076923,3.3846154,3.1538463,4.1923075,8.536361,6.464954,6.921975,7.2836275,6.255699,6.035312
cierpliwy,U,4.3461537,1.8846154,1.6923077,1.6538461,1.3076923,3.7165537,6.8254476,6.994879,7.040972,7.2768345,4.0662413
"odpierać",U,2.5,2.6153846,1.5769231,2.6923077,1.8076923,6.067521,5.978721,6.8718686,5.935226,6.6766133,3.4365692
wujek,U,3.8846154,2.0,1.8076923,1.5,1.4230769,4.125976,6.7649074,6.922584,7.218277,7.2746234,3.976339
mango,U,4.730769,1.3846154,1.1923077,1.2307693,1.1923077,2.6302469,7.0786386,7.2481484,7.204282,7.245588,3.9643779
"panujący",U,2.6153846,2.6923077,1.8076923,2.9615386,2.4230769,6.2186127,6.392741,7.104475,6.162714,6.5730996,4.162313
sikorka,U,4.076923,1.2692307,1.6153846,1.1923077,1.1923077,3.4394443,6.960702,6.623887,7.022634,7.0221796,3.525777
"lamentować",U,1.0769231,3.7307692,3.8461537,2.5769231,3.8076923,8.705549,6.620519,6.333931,7.637171,6.6248627,6.0857797
ciekawy,U,4.769231,1.3076923,1.5,1.8076923,1.2692307,3.205268,7.3879185,7.259127,6.955963,7.419517,4.3130546
"powiedzieć",U,3.0,1.3461539,1.5384616,2.3076923,1.1923077,5.129413,6.853925,6.6797996,5.9460526,6.9678507,2.7995791
porozumienie,U,4.423077,1.6153846,1.3846154,1.8461539,1.3846154,3.517056,7.0403366,7.2584157,6.9137325,7.2437963,4.248474
